week_date,current_projects,current_projects_target,current_projects_diversity,starting_projects,starting_projects_target,starting_projects_diversity,ending_projects,ending_projects_target,ending_projects_diversity,success_rate,Age,winter,automn,spring,summer,start_month,end_month,back_to_school,toussaint,noel,winter_hol,spring_hol,start_year,end_year
2012-01-15 00:00:00+00:00,72,3504.6388888888887,2.175947939746174,12,3603.3333333333335,1.5607104090414068,11,3006.909090909091,1.6417347121875214,0.4166666666666667,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2012-01-22 00:00:00+00:00,85,3450.5176470588235,2.09413365121983,24,3084.8333333333335,1.6086907376762947,8,2412.5,1.7328679513998633,0.4583333333333333,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2012-01-29 00:00:00+00:00,97,3724.680412371134,2.0199514487935013,20,4365.0,1.8217383933208382,9,2333.6666666666665,2.0431918705451206,0.4,2,1,0,0,0,0,1,0,0,0,0,0,1,0
2012-02-05 00:00:00+00:00,104,3768.951923076923,1.9310555159593703,16,3230.0,1.5268781472745927,12,2000.8333333333333,1.8636799873410004,0.6875,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2012-02-12 00:00:00+00:00,113,3616.9115044247787,1.922959901834343,21,1940.4761904761904,1.6993255155252154,11,2990.909090909091,1.9722469794234418,0.47619047619047616,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-19 00:00:00+00:00,119,3502.6638655462184,1.8400837443008606,17,2412.1176470588234,1.5992212565872683,12,1996.25,0.9830877585747855,0.4117647058823529,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-26 00:00:00+00:00,119,3632.4285714285716,1.8529665254596372,12,3283.0833333333335,1.6326309271543518,17,1973.5294117647059,1.8397895868412522,0.6666666666666666,2,1,0,0,0,0,1,0,0,0,1,0,0,0
2012-03-04 00:00:00+00:00,120,3807.325,1.8488904986997254,18,3231.6666666666665,1.767424825929728,10,3123.0,1.5047882836811908,0.6111111111111112,2,1,0,0,0,1,0,0,0,0,1,0,0,0
2012-03-11 00:00:00+00:00,125,3621.152,1.8416562712057587,15,1799.6666666666667,1.4368286689630319,13,2192.3076923076924,1.2711814802605796,0.6666666666666666,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-18 00:00:00+00:00,126,3639.563492063492,1.908074606539005,14,2460.0714285714284,1.5367224694372195,16,2401.875,1.2511559833636317,0.6428571428571429,2,1,0,0,0,0,0,0,0,0,0,0,0,0
